Year,Sex,Age,Incidence Rate,Incident Cases,Population at Risk,Standard Error
2008,MALE,50to54,10.251000000000001,14.0,136570.34483000002,2.74
2008,MALE,55to59,16.393,17.0,103700.54211,3.9800000000000004
2008,MALE,60to64,15.264000000000001,12.0,78618.48682,4.41
2008,MALE,65to69,9.17,5.0,54525.047239,4.1000000000000005
2008,MALE,70to74,2.398,1.0,41707.04126,2.4000000000000004
2008,MALE,75to79,5.886000000000001,2.0,33979.286567,4.16
2008,MALE,80to84,0.0,0.0,21738.774801,9.200000000000001
2008,MALE,85+,0.0,0.0,15067.542051,13.270000000000001
2009,BOTH,ALL,14.141000000000002,519.0,3670197.6114000003,0.6200000000000001
2009,BOTH,00to19,0.43300000000000005,4.0,924678.3288100001,0.22
2009,BOTH,20to24,10.841000000000001,31.0,285963.69098,1.9500000000000002
2009,BOTH,25to29,23.139000000000003,72.0,311163.60039000004,2.73
2009,BOTH,30to34,24.511,69.0,281502.48822,2.95
2009,BOTH,35to39,24.828,67.0,269851.6072,3.03
2009,BOTH,40to44,25.478,68.0,266898.94324000005,3.09
2009,BOTH,45to49,23.612000000000002,70.0,296465.59204,2.8200000000000003
2009,BOTH,50to54,22.727000000000004,62.0,272797.97218000004,2.89
2009,BOTH,55to59,14.033,30.0,213785.92996000004,2.56
2009,BOTH,60to64,16.94,28.0,165292.60277,3.2
2009,BOTH,65to69,3.4450000000000003,4.0,116117.71027000001,1.7200000000000002
2009,BOTH,70to74,2.242,2.0,89192.973828,1.59
2009,BOTH,75to79,6.698,5.0,74650.05381,3.0
2009,BOTH,80to84,5.567,3.0,53891.624497000004,3.21
2009,BOTH,85+,8.343,4.0,47944.493172,4.170000000000001
2009,FEMALE,ALL,20.549,370.0,1800531.0339,1.07
2009,FEMALE,00to19,0.444,2.0,450099.11030000006,0.31000000000000005
2009,FEMALE,20to24,15.922,22.0,138171.86644,3.39
2009,FEMALE,25to29,29.466,44.0,149322.96036,4.44
2009,FEMALE,30to34,38.575,52.0,134802.24323000002,5.3500000000000005
2009,FEMALE,35to39,40.303000000000004,52.0,129024.23101000002,5.59
2009,FEMALE,40to44,36.663000000000004,47.0,128194.99188000002,5.3500000000000005
2009,FEMALE,45to49,34.153,49.0,143470.29529,4.880000000000001
2009,FEMALE,50to54,35.790000000000006,47.0,131321.58578,5.22
2009,FEMALE,55to59,20.168000000000003,21.0,104125.13819000001,4.4
2009,FEMALE,60to64,25.54,21.0,82223.16909800001,5.57
2009,FEMALE,65to69,3.3870000000000005,2.0,59049.487468,2.39
2009,FEMALE,70to74,4.265000000000001,2.0,46892.458295000004,3.02
2009,FEMALE,75to79,12.41,5.0,40290.819242000005,5.55
2009,FEMALE,80to84,3.196,1.0,31290.681663000003,3.2
2009,FEMALE,85+,9.302000000000001,3.0,32251.995611000002,5.370000000000001
2009,MALE,ALL,7.969,149.0,1869666.5775,0.6500000000000001
2009,MALE,00to19,0.42100000000000004,2.0,474579.21851000004,0.30000000000000004
2009,MALE,20to24,6.09,9.0,147791.82454000003,2.03
2009,MALE,25to29,17.301000000000002,28.0,161840.64004,3.27
2009,MALE,30to34,11.588,17.0,146700.24498000002,2.81
2009,MALE,35to39,10.651000000000002,15.0,140827.37619,2.75
2009,MALE,40to44,15.14,21.0,138703.95136,3.3000000000000003
2009,MALE,45to49,13.726,21.0,152995.29675,3.0
2009,MALE,50to54,10.602000000000002,15.0,141476.38639000003,2.74
2009,MALE,55to59,8.207,9.0,109660.79176000001,2.74
2009,MALE,60to64,8.427,7.0,83069.433669,3.18
2009,MALE,65to69,3.505,2.0,57068.222804000005,2.4800000000000004
2009,MALE,70to74,0.0,0.0,42300.515534,4.73
2009,MALE,75to79,0.0,0.0,34359.23456800001,5.82
2009,MALE,80to84,8.849,2.0,22600.942834,6.26
2009,MALE,85+,6.372000000000001,1.0,15692.497561000002,6.370000000000001
2010,BOTH,ALL,14.209000000000001,529.0,3722960.1028,0.6200000000000001
2010,BOTH,00to19,0.537,5.0,931618.06947,0.24000000000000002
2010,BOTH,20to24,5.6610000000000005,16.0,282655.80282,1.4200000000000002
2010,BOTH,25to29,20.831,66.0,316837.99240000005,2.56
2010,BOTH,30to34,24.542,71.0,289303.66742,2.91
2010,BOTH,35to39,23.555,64.0,271700.9902,2.9400000000000004
2010,BOTH,40to44,24.648,65.0,263714.7891,3.06
2010,BOTH,45to49,26.119,77.0,294804.98188000004,2.9800000000000004
2010,BOTH,50to54,25.014,70.0,279842.79604,2.99
2010,BOTH,55to59,16.866,38.0,225307.70068,2.74
2010,BOTH,60to64,15.446,27.0,174798.75848000002,2.97
2010,BOTH,65to69,12.441,15.0,120573.85292,3.21
2010,BOTH,70to74,5.4670000000000005,5.0,91463.78901800001,2.4400000000000004
2010,BOTH,75to79,10.681000000000001,8.0,74897.47086100001,3.7800000000000002
2010,BOTH,80to84,1.7920000000000003,1.0,55809.67078400001,1.7900000000000003
2010,BOTH,85+,2.015,1.0,49629.770775000005,2.01
2010,FEMALE,ALL,20.706000000000003,379.0,1830354.7819000003,1.06
2010,FEMALE,00to19,0.882,4.0,453524.9218,0.44
2010,FEMALE,20to24,8.703000000000001,12.0,137879.65948,2.51
2010,FEMALE,25to29,31.319,48.0,153262.39049000002,4.52
2010,FEMALE,30to34,37.159,52.0,139938.0212,5.15
2010,FEMALE,35to39,33.746,44.0,130385.12578,5.09
2010,FEMALE,40to44,42.499,54.0,127061.87998,5.78
2010,FEMALE,45to49,37.933,54.0,142354.77838,5.16
2010,FEMALE,50to54,37.108000000000004,50.0,134740.81426,5.25
2010,FEMALE,55to59,20.155,22.0,109153.49373,4.3
2010,FEMALE,60to64,23.056,20.0,86747.184758,5.16
2010,FEMALE,65to69,13.031,8.0,61394.351632000005,4.61
2010,FEMALE,70to74,6.247,3.0,48026.142080000005,3.61
2010,FEMALE,75to79,14.845,6.0,40417.12711100001,6.06
2010,FEMALE,80to84,3.108,1.0,32174.689452000002,3.11
2010,FEMALE,85+,3.004,1.0,33294.201809000006,3.0
2010,MALE,ALL,7.926,150.0,1892605.3209,0.6500000000000001
2010,MALE,00to19,0.20900000000000002,1.0,478093.14767000003,0.21000000000000002
2010,MALE,20to24,2.7630000000000003,4.0,144776.14334,1.3800000000000001
2010,MALE,25to29,11.004,18.0,163575.60191,2.59
2010,MALE,30to34,12.72,19.0,149365.64622,2.9200000000000004
2010,MALE,35to39,14.153000000000002,20.0,141315.86442000003,3.16
2010,MALE,40to44,8.05,11.0,136652.90912,2.43
2010,MALE,45to49,15.087,23.0,152450.2035,3.15
2010,MALE,50to54,13.783000000000001,20.0,145101.98178,3.08
2010,MALE,55to59,13.775,16.0,116154.20695,3.4400000000000004
2010,MALE,60to64,7.95,7.0,88051.573722,3.0
2010,MALE,65to69,11.828000000000001,7.0,59179.501292,4.470000000000001
2010,MALE,70to74,4.604,2.0,43437.646937000005,3.2600000000000002
2010,MALE,75to79,5.800000000000001,2.0,34480.34375,4.1000000000000005
2010,MALE,80to84,0.0,0.0,23634.981332000003,8.46
2010,MALE,85+,0.0,0.0,16335.568966,12.24
2011,BOTH,ALL,12.303,465.0,3779639.9067,0.5700000000000001
2011,BOTH,00to19,0.9550000000000001,9.0,942379.45148,0.32000000000000006
2011,BOTH,20to24,5.351000000000001,15.0,280325.13248000003,1.3800000000000001
2011,BOTH,25to29,15.699000000000002,50.0,318496.32672000007,2.22
2011,BOTH,30to34,21.437,64.0,298548.36392,2.68
2011,BOTH,35to39,16.086,44.0,273525.13164000004,2.43
2011,BOTH,40to44,25.949,69.0,265901.61402000004,3.12
2011,BOTH,45to49,27.781000000000002,80.0,287967.27513,3.11
2011,BOTH,50to54,18.548,53.0,285741.95415,2.55
2011,BOTH,55to59,15.559,37.0,237798.25256000002,2.56
2011,BOTH,60to64,12.543,23.0,183369.09142,2.62
2011,BOTH,65to69,6.3260000000000005,8.0,126467.57031,2.24
2011,BOTH,70to74,4.24,4.0,94349.391069,2.12
2011,BOTH,75to79,3.9690000000000003,3.0,75582.703949,2.29
2011,BOTH,80to84,5.219,3.0,57486.448595,3.01
2011,BOTH,85+,5.803000000000001,3.0,51701.199288,3.35
2011,FEMALE,ALL,17.617,328.0,1861882.689,0.97
2011,FEMALE,00to19,1.7440000000000002,8.0,458700.08663,0.6200000000000001
2011,FEMALE,20to24,9.452,13.0,137540.31622,2.62
2011,FEMALE,25to29,24.483,38.0,155209.74707,3.97
2011,FEMALE,30to34,32.998,48.0,145464.97956,4.76
2011,FEMALE,35to39,24.185000000000002,32.0,132314.10736,4.28
2011,FEMALE,40to44,39.692,51.0,128490.49321000002,5.56
2011,FEMALE,45to49,37.484,52.0,138725.72651,5.2
2011,FEMALE,50to54,23.250000000000004,32.0,137637.0132,4.11
2011,FEMALE,55to59,20.006,23.0,114963.3543,4.170000000000001
2011,FEMALE,60to64,18.724,17.0,90791.30901,4.54
2011,FEMALE,65to69,9.333,6.0,64287.03505,3.81
2011,FEMALE,70to74,6.058,3.0,49521.078011,3.5
2011,FEMALE,75to79,4.905,2.0,40775.11217200001,3.47
2011,FEMALE,80to84,6.079,2.0,32898.852901000006,4.3
2011,FEMALE,85+,2.8930000000000002,1.0,34563.477747000004,2.89
2011,MALE,ALL,7.144,137.0,1917757.2178000002,0.6100000000000001
2011,MALE,00to19,0.20700000000000002,1.0,483679.36485000007,0.21000000000000002
2011,MALE,20to24,1.401,2.0,142784.81626000002,0.99
2011,MALE,25to29,7.349000000000001,12.0,163286.57965,2.12
2011,MALE,30to34,10.452,16.0,153083.38436000003,2.61
2011,MALE,35to39,8.498000000000001,12.0,141211.02428,2.45
2011,MALE,40to44,13.099,18.0,137411.12081,3.09
2011,MALE,45to49,18.762,28.0,149241.54862,3.55
2011,MALE,50to54,14.179000000000002,21.0,148104.94096,3.09
2011,MALE,55to59,11.397,14.0,122834.89826,3.05
2011,MALE,60to64,6.481000000000001,6.0,92577.782405,2.65
2011,MALE,65to69,3.216,2.0,62180.535258,2.27
2011,MALE,70to74,2.2310000000000003,1.0,44828.313059,2.23
2011,MALE,75to79,2.873,1.0,34807.591777,2.87
2011,MALE,80to84,4.067,1.0,24587.595694,4.07
2011,MALE,85+,11.670000000000002,2.0,17137.721541,8.250000000000002
2012,BOTH,ALL,13.817,534.0,3864883.1361000002,0.6000000000000001
2012,BOTH,00to19,0.41700000000000004,4.0,958959.8783000001,0.21000000000000002
2012,BOTH,20to24,7.436,21.0,282404.04753,1.62
2012,BOTH,25to29,20.104000000000003,65.0,323315.40705000004,2.49
2012,BOTH,30to34,27.207000000000004,85.0,312423.286,2.95
2012,BOTH,35to39,27.64,78.0,282200.02229,3.13
2012,BOTH,40to44,23.94,65.0,271510.14377,2.97
2012,BOTH,45to49,23.763,67.0,281952.68451000005,2.9000000000000004
2012,BOTH,50to54,21.735000000000003,63.0,289851.61692000006,2.74
2012,BOTH,55to59,14.433,36.0,249424.26216,2.41
2012,BOTH,60to64,10.618000000000002,20.0,188357.61415,2.37
2012,BOTH,65to69,8.728000000000002,12.0,137487.88994000002,2.52
2012,BOTH,70to74,12.269000000000002,12.0,97810.66874200001,3.54
2012,BOTH,75to79,1.307,1.0,76492.75450699999,1.31
2012,BOTH,80to84,1.7020000000000002,1.0,58744.465597,1.7000000000000002
2012,BOTH,85+,7.414000000000001,4.0,53948.39465,3.71
2012,FEMALE,ALL,18.645000000000003,355.0,1903995.1545000002,0.99
2012,FEMALE,00to19,0.42900000000000005,2.0,466304.55836,0.30000000000000004
2012,FEMALE,20to24,10.889000000000001,15.0,137755.99542,2.81
2012,FEMALE,25to29,27.270000000000003,43.0,157680.51027,4.16
2012,FEMALE,30to34,41.839000000000006,64.0,152968.25889,5.23
2012,FEMALE,35to39,38.685,53.0,137004.01622,5.3100000000000005
2012,FEMALE,40to44,35.833000000000006,47.0,131164.77009,5.23
2012,FEMALE,45to49,30.131,41.0,136071.69724,4.71
2012,FEMALE,50to54,27.115000000000002,38.0,140143.47039,4.4
2012,FEMALE,55to59,15.739,19.0,120722.74043,3.61
